CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"003903123","0","0","0","0","0","1"," ","COSTON EL","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","03 - 05","E"
"003903124"," "," "," "," "," "," "," ","DUNBAR PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","KG - 02","E"
"003903125"," "," "," "," "," "," "," ","GARRETT PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","PK - PK","E"
"003903126"," "," "," "," "," "," "," ","HACKNEY PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","PK - PK","E"
"003903127"," "," "," "," "," "," "," ","HERTY PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","EE - 02","E"
"003903128"," "," "," "," "," "," "," ","KURTH PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","PK - 02","E"
"003903129","0","0","0","0","0","0"," ","SLACK EL","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","02 - 05","E"
"003903130"," "," "," "," "," "," "," ","TROUT PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","EE - 02","E"
"003903131"," "," "," "," "," "," "," ","BURLEY PRI","N","ANGELINA","003","Met Standard","LUFKIN ISD","003903","KG - 02","E"
"003903141"," "," "," "," "," "," "," ","SPECIAL SERVICES","N","ANGELINA","003","Not Rated","LUFKIN ISD","003903","EE - 04","E"
"003903201"," "," "," "," "," "," "," ","JUVENILE DETENT CTR","N","ANGELINA","003","Not Rated","LUFKIN ISD","003903","08 - 09","M"
"003904001","1","0","0","0","0","0","0","HUNTINGTON H S","N","ANGELINA","003","Met Standard","HUNTINGTON ISD","003904","09 - 12","S"
"003904005"," "," "," "," "," "," "," ","PRIDE ALTER SCH","N","ANGELINA","003","Met Alternative Standard","HUNTINGTON ISD","003904","09 - 12","S"
"003904041","0","1","1","1","0","0","0","HUNTINGTON MIDDLE","N","ANGELINA","003","Met Standard","HUNTINGTON ISD","003904","06 - 08","M"
"003904101","0","0","0"," ","0"," "," ","HUNTINGTON EL","N","ANGELINA","003","Met Standard","HUNTINGTON ISD","003904","EE - 03","E"
"003904102","1","1","0","1","0","0"," ","HUNTINGTON INT","N","ANGELINA","003","Met Standard","HUNTINGTON ISD","003904","04 - 05","E"
"003905001","1","1","1","1","0","0","0","DIBOLL H S","N","ANGELINA","003","Met Standard","DIBOLL ISD","003905","09 - 12","S"
"003905004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","N","ANGELINA","003","Not Rated","DIBOLL ISD","003905","11 - 12","S"
"003905041","1","0","0","1","0","0","0","DIBOLL J H","N","ANGELINA","003","Met Standard","DIBOLL ISD","003905","07 - 08","M"
"003905101","0","0","1"," ","1"," "," ","H G TEMPLE EL","N","ANGELINA","003","Met Standard","DIBOLL ISD","003905","KG - 03","E"
"003905102"," "," "," "," "," "," "," ","DIBOLL PRI","N","ANGELINA","003","Met Standard","DIBOLL ISD","003905","EE - PK","E"
"003905103","0","0","0","0","0","0"," ","H G TEMPLE INT","N","ANGELINA","003","Met Standard","DIBOLL ISD","003905","04 - 06","E"
"003906001","0","0","0","1","0","0","0","ZAVALLA H S","N","ANGELINA","003","Met Standard","ZAVALLA ISD","003906","06 - 12","B"
"003906101","0","0","0","0","0","0"," ","ZAVALLA EL","N","ANGELINA","003","Improvement Required","ZAVALLA ISD","003906","PK - 05","E"
"003907001","0","0","1","0","0","0","0","CENTRAL H S","N","ANGELINA","003","Met Standard","CENTRAL ISD","003907","09 - 12","S"
"003907004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","N","ANGELINA","003","Not Rated","CENTRAL ISD","003907","11 - 12","S"
"003907041","0","1","0","0","0","0","0","CENTRAL J H","N","ANGELINA","003","Met Standard","CENTRAL ISD","003907","05 - 08","M"
"003907102","0","0","0","0","0"," "," ","CENTRAL EL","N","ANGELINA","003","Met Standard","CENTRAL ISD","003907","EE - 04","E"
"004901001","0","1","0","1","1","1","1","ROCKPORT-FULTON H S","N","ARANSAS","004","Met Standard","ARANSAS COUNTY ISD","004901","09 - 12","S"
"004901041","1","1","1","1","1","1","1","ROCKPORT-FULTON MIDDLE","N","ARANSAS","004","Met Standard","ARANSAS COUNTY ISD","004901","06 - 08","M"
"004901101","1","1","1","1","1","0"," ","FULTON 4-5 LEARNING CENTER","N","ARANSAS","004","Met Standard","ARANSAS COUNTY ISD","004901","04 - 05","E"
"004901102"," "," "," "," "," "," "," ","LITTLE BAY PRI","N","ARANSAS","004","Met Standard","ARANSAS COUNTY ISD","004901","PK - KG","E"
"004901103","0","1","1"," ","1"," "," ","LIVE OAK 1-3 LEARNING CENTER","N","ARANSAS","004","Met Standard","ARANSAS COUNTY ISD","004901","01 - 03","E"
"005901001","1","0","1","0","1","0","1","ARCHER CITY H S","N","ARCHER","005","Met Standard","ARCHER CITY ISD","005901","07 - 12","S"
"005901101","1","1","1","1","1","1"," ","ARCHER CITY EL","N","ARCHER","005","Met Standard","ARCHER CITY ISD","005901","PK - 06","E"
"005902001","1","0","0","1","0","0","0","HOLLIDAY H S","N","ARCHER","005","Met Standard","HOLLIDAY ISD","005902","09 - 12","S"
"005902041","0","0","1","0","0","0","0","HOLLIDAY MIDDLE","N","ARCHER","005","Met Standard","HOLLIDAY ISD","005902","06 - 08","M"
"005902101","0","1","0","1","0","0"," ","HOLLIDAY EL","N","ARCHER","005","Met Standard","HOLLIDAY ISD","005902","EE - 05","E"
"005904001"," ","0","1","0","0","0","0","WINDTHORST H S","N","ARCHER","005","Met Standard","WINDTHORST ISD","005904","09 - 12","S"
"005904041","1","1","0","1","1","0","0","WINDTHORST JH","N","ARCHER","005","Met Standard","WINDTHORST ISD","005904","06 - 08","M"
"005904101","0","0","1","0","0","0"," ","WINDTHORST EL","N","ARCHER","005","Met Standard","WINDTHORST ISD","005904","PK - 05","E"
"006902001","0","0","1","1","0","0","0","CLAUDE H S","N","ARMSTRONG","006","Met Standard","CLAUDE ISD","006902","07 - 12","S"
"006902101","0","1","0","0","0","1"," ","CLAUDE EL","N","ARMSTRONG","006","Met Standard","CLAUDE ISD","006902","PK - 06","E"
"007901001","0","0","0","0","0","0","0","CHARLOTTE H S","N","ATASCOSA","007","Met Standard","CHARLOTTE ISD","007901","09 - 12","S"
"007901041","0","0","1","0","0","0","0","CHARLOTTE MIDDLE","N","ATASCOSA","007","Met Standard","CHARLOTTE ISD","007901","05 - 08","M"
"007901101","0","0","0","0","0"," "," ","CHARLOTTE EL","N","ATASCOSA","007","Improvement Required","CHARLOTTE ISD","007901","PK - 04","E"
"007902001","0","0","0","0","0","0","1","JOURDANTON H S","N","ATASCOSA","007","Met Standard","JOURDANTON ISD","007902","09 - 12","S"
"007902004"," "," "," "," "," "," "," ","THE LARRY BROWN SCHOOL","N","ATASCOSA","007","Not Rated","JOURDANTON ISD","007902","10 - 10","S"
"007902005"," "," "," "," "," "," "," ","ATASCOSA COUNTY JUVENILE JUSTICE C","N","ATASCOSA","007","Not Rated","JOURDANTON ISD","007902","08 - 11","S"
"007902006"," "," "," "," "," "," "," ","JOURDANTON DAEP","N","ATASCOSA","007","Not Rated","JOURDANTON ISD","007902","07 - 11","S"
"007902041","1","1","1","0","0","0","0","JOURDANTON J H","N","ATASCOSA","007","Met Standard","JOURDANTON ISD","007902","06 - 08","M"
"007902101","0","0","0","0","0","1"," ","JOURDANTON EL","N","ATASCOSA","007","Met Standard","JOURDANTON ISD","007902","EE - 05","E"
"007904001","1","0","0","0","0","0","0","LYTLE H S","N","ATASCOSA","007","Met Standard","LYTLE ISD","007904","09 - 12","S"
"007904002"," "," "," "," "," "," "," ","LYTLE DAEP","N","ATASCOSA","007","Not Rated","LYTLE ISD","007904","08 - 10","S"
"007904041","0","0","0","0","0","0","0","LYTLE J H","N","ATASCOSA","007","Improvement Required","LYTLE ISD","007904","06 - 08","M"
"007904101","0","0","0","0","0","0"," ","LYTLE EL","N","ATASCOSA","007","Met Standard","LYTLE ISD","007904","02 - 05","E"
"007904103"," "," "," "," "," "," "," ","LYTLE PRIMARY SCHOOL","N","ATASCOSA","007","Met Standard","LYTLE ISD","007904","EE - 01","E"
"007905001","0","0","1","0","0","0","0","PLEASANTON H S","N","ATASCOSA","007","Met Standard","PLEASANTON ISD","007905","09 - 12","S"
"007905005"," "," "," "," "," "," "," ","PLEASANTON ISD SCHOOL OF CHOICE","N","ATASCOSA","007","Met Alternative Standard","PLEASANTON ISD","007905","11 - 12","S"
"007905041","0","0","0","0","0","0","0","PLEASANTON J H","N","ATASCOSA","007","Met Standard","PLEASANTON ISD","007905","06 - 08","M"
"007905103","0","0","0","0","0","0"," ","PLEASANTON EL","N","ATASCOSA","007","Met Standard","PLEASANTON ISD","007905","02 - 05","E"
"007905105"," "," "," "," "," "," "," ","PLEASANTON PRI","N","ATASCOSA","007","Met Standard","PLEASANTON ISD","007905","EE - 01","E"
"007906001","0","1","0","1","1","1","0","POTEET H S","N","ATASCOSA","007","Met Standard","POTEET ISD","007906","09 - 12","S"
"007906003"," "," "," "," "," "," "," ","ATASCOSA CO JUVENILE UNIT","N","ATASCOSA","007","Not Rated","POTEET ISD","007906","09 - 09","S"
"007906041","0","0","0","0","1","0","0","POTEET J H","N","ATASCOSA","007","Met Standard","POTEET ISD","007906","06 - 08","M"
"007906101","0","0","0"," ","0"," "," ","POTEET EL","N","ATASCOSA","007","Improvement Required","POTEET ISD","007906","EE - 03","E"
"007906102","1","1","1","1","0","1"," ","POTEET INT","N","ATASCOSA","007","Met Standard","POTEET ISD","007906","04 - 05","E"
"008901001","0","1","0","0","1","1","1","BELLVILLE H S","N","AUSTIN","008","Met Standard","BELLVILLE ISD","008901","09 - 12","S"
"008901041","1","1","0","1","0","0","0","BELLVILLE J H","N","AUSTIN","008","Met Standard","BELLVILLE ISD","008901","06 - 08","M"
"008901101","0","0","0"," ","1"," "," ","O'BRYANT PRI","N","AUSTIN","008","Met Standard","BELLVILLE ISD","008901","EE - 03","E"
"008901102","0","0","0","0","0","0"," ","O'BRYANT INT","N","AUSTIN","008","Met Standard","BELLVILLE ISD","008901","04 - 05","E"
"008901105","1","0","0","1","0","0"," ","WEST END EL","N","AUSTIN","008","Met Standard","BELLVILLE ISD","008901","KG - 05","E"
"008902001","0","0","0","0","0","0","1","SEALY H S","N","AUSTIN","008","Met Standard","SEALY ISD","008902","09 - 12","S"
"008902041","0","0","0","0","0","0","1","SEALY J H","N","AUSTIN","008","Met Standard","SEALY ISD","008902","06 - 08","M"
"008902102","0","0","0"," ","0"," "," ","SELMAN EL","N","AUSTIN","008","Met Standard","SEALY ISD","008902","EE - 03","E"
"008902103","0","0","0","1","1","1"," ","SELMAN INT","N","AUSTIN","008","Met Standard","SEALY ISD","008902","04 - 05","E"
"008903001","0","0","0","0","0","0","0","BRAZOS H S","N","AUSTIN","008","Met Standard","BRAZOS ISD","008903","09 - 12","S"
"008903041","1","1","1","1","0","1","1","BRAZOS MIDDLE","N","AUSTIN","008","Met Standard","BRAZOS ISD","008903","06 - 08","M"
"008903102","0","0","0","0","0","0"," ","BRAZOS EL","N","AUSTIN","008","Met Standard","BRAZOS ISD","008903","EE - 05","E"
"008903103"," "," "," "," "," "," "," ","PRAIRIE HARBOR ALTERNATIVE SCHOOL","N","AUSTIN","008","Not Rated","BRAZOS ISD","008903","07 - 12","S"
"009901001","0","1","1","1","0","0","1","MULESHOE H S","N","BAILEY","009","Met Standard","MULESHOE ISD","009901","09 - 12","S"
"009901002"," "," "," "," "," "," "," ","P E P","N","BAILEY","009","Met Alternative Standard","MULESHOE ISD","009901","09 - 12","S"
"009901041","0","1","1","0","1","0","0","WATSON J H","N","BAILEY","009","Met Standard","MULESHOE ISD","009901","06 - 08","M"
"009901101","0","0","0","0","0","0"," ","MARY DESHAZO EL","N","BAILEY","009","Met Standard","MULESHOE ISD","009901","03 - 05","E"
"009901103"," "," "," "," "," "," "," ","DILLMAN EL","N","BAILEY","009","Met Standard","MULESHOE ISD","009901","EE - 02","E"
"010901001","0","0","1","0","1","1","0","MEDINA SCHOOL","N","BANDERA","010","Met Standard","MEDINA ISD","010901","EE - 12","B"
"010902001","0","0","1","0","0","0","1","BANDERA H S","N","BANDERA","010","Met Standard","BANDERA ISD","010902","09 - 12","S"
"010902041","0","0","0","0","0","1","0","BANDERA MIDDLE","N","BANDERA","010","Met Standard","BANDERA ISD","010902","06 - 08","M"
"010902101","0","0","0","0","0","0"," ","ALKEK EL","N","BANDERA","010","Met Standard","BANDERA ISD","010902","EE - 05","E"
"010902102","0","0","0","0","0","0"," ","HILL COUNTRY EL","N","BANDERA","010","Met Standard","BANDERA ISD","010902","PK - 05","E"
"011901001","0","0","0","0","0","1","1","BASTROP H S","N","BASTROP","011","Met Standard","BASTROP ISD","011901","09 - 12","S"
"011901002","0","0","0","0","0","1","1","CEDAR CREEK H S","N","BASTROP","011","Met Standard","BASTROP ISD","011901","09 - 12","S"
"011901005","1","0","0","1","0","0","0","COLORADO RIVER COLLEGIATE ACADEMY","N","BASTROP","011","Met Standard","BASTROP ISD","011901","09 - 12","S"
"011901022"," "," "," "," "," "," "," ","GENESIS H S","N","BASTROP","011","Met Alternative Standard","BASTROP ISD","011901","09 - 12","S"
"011901033"," "," "," "," "," "," "," ","GATEWAY SCH","N","BASTROP","011","Not Rated","BASTROP ISD","011901","06 - 12","B"
"011901041","0","0","0","0","0","0","0","BASTROP MIDDLE","N","BASTROP","011","Met Standard","BASTROP ISD","011901","07 - 08","M"
"011901101","0","0","0","0","0"," "," ","EMILE EL","N","BASTROP","011","Improvement Required","BASTROP ISD","011901","EE - 04","E"
"011901102","0","0","1","0","0"," "," ","MINA EL","N","BASTROP","011","Met Standard","BASTROP ISD","011901","EE - 04","E"
"011901103","0","0","0","0","0"," "," ","CEDAR CREEK EL","N","BASTROP","011","Met Standard","BASTROP ISD","011901","PK - 04","E"
"011901104","0","0","0","0","0","0"," ","BASTROP INT","N","BASTROP","011","Improvement Required","BASTROP ISD","011901","05 - 06","M"
"011901106","0","0","0","0","0","0","0","CEDAR CREEK MIDDLE","N","BASTROP","011","Met Standard","BASTROP ISD","011901","07 - 08","M"
"011901107","0","0","0","0","0"," "," ","RED ROCK EL","N","BASTROP","011","Met Standard","BASTROP ISD","011901","PK - 04","E"
"011901108","0","0","0","0","0","1"," ","CEDAR CREEK INT","N","BASTROP","011","Met Standard","BASTROP ISD","011901","05 - 06","M"
"011901109","0","0","0","0","0"," "," ","BLUEBONNET EL","N","BASTROP","011","Met Standard","BASTROP ISD","011901","PK - 04","E"
"011901110","0","0","0","0","0"," "," ","LOST PINES EL","N","BASTROP","011","Met Standard","BASTROP ISD","011901","PK - 04","E"
"011902001","0","0","1","0","1","1","1","ELGIN H S","N","BASTROP","011","Met Standard","ELGIN ISD","011902","09 - 12","S"
"011902003"," "," "," "," "," "," "," ","BASTROP COUNTY JUVENILE BOOT CAMP","N","BASTROP","011","Not Rated","ELGIN ISD","011902","08 - 08","M"
"011902004"," "," "," "," "," "," "," ","PHOENIX H S","N","BASTROP","011","Improvement Required","ELGIN ISD","011902","09 - 12","S"
"011902041","0","0","0","0","0","0","0","ELGIN MIDDLE","N","BASTROP","011","Met Standard","ELGIN ISD","011902","06 - 08","M"
"011902101","0","0","0","0","0","0"," ","BOOKER T WASHINGTON EL","N","BASTROP","011","Met Standard","ELGIN ISD","011902","KG - 05","E"
"011902102","0","0","0","0","0","0"," ","ELGIN EL","N","BASTROP","011","Met Standard","ELGIN ISD","011902","EE - 05","E"
"011902103","0","0","0","0","0","0"," ","NEIDIG EL","N","BASTROP","011","Improvement Required","ELGIN ISD","011902","KG - 05","E"
"011904002","0","0","0","0","0","0","0","SMITHVILLE H S","N","BASTROP","011","Met Standard","SMITHVILLE ISD","011904","09 - 12","S"
"011904041","0","0","0","0","0","0","0","SMITHVILLE J H","N","BASTROP","011","Met Standard","SMITHVILLE ISD","011904","06 - 08","M"
"011904101","0","0","0","0","0","1"," ","SMITHVILLE EL","N","BASTROP","011","Met Standard","SMITHVILLE ISD","011904","03 - 05","E"
"011904102"," "," "," "," "," "," "," ","BROWN PRI","N","BASTROP","011","Met Standard","SMITHVILLE ISD","011904","EE - 02","E"
"011905001","0","0","1","0","1","1","1","MCDADE H S","N","BASTROP","011","Met Standard","MCDADE ISD","011905","06 - 11","B"
"011905101","0","0","0","1","0","0"," ","MCDADE EL","N","BASTROP","011","Met Standard","MCDADE ISD","011905","PK - 05","E"
"012901001","1","0","0","1","0","0","0","SEYMOUR H S","N","BAYLOR","012","Met Standard","SEYMOUR ISD","012901","09 - 12","S"
"012901042","1","1","1","1","1","1","1","SEYMOUR MIDDLE","N","BAYLOR","012","Met Standard","SEYMOUR ISD","012901","05 - 08","M"
"012901101","1","1","1","1","1"," "," ","SEYMOUR EL","N","BAYLOR","012","Met Standard","SEYMOUR ISD","012901","EE - 04","E"
"013801101","0","1","1","0","0","0"," ","ST MARY'S ACADEMY CHARTER SCHOOL","Y","BEE","013","Met Standard","ST MARY'S ACADEMY CHARTER SCHOOL","013801","KG - 06","E"
"013901001","0","0","0","0","0","0","0","A C JONES H S","N","BEE","013","Met Standard","BEEVILLE ISD","013901","09 - 12","S"
"013901041","0","0","0","0","0","0","0","MORENO J H","N","BEE","013","Met Standard","BEEVILLE ISD","013901","07 - 08","M"
"013901042","0","0","1","0","1","1","1","THE JOE BARNHART ACADEMY","N","BEE","013","Met Standard","BEEVILLE ISD","013901","07 - 08","M"
"013901101","0","0","0","1","0"," "," ","R A HALL EL","N","BEE","013","Met Standard","BEEVILLE ISD","013901","01 - 04","E"
"013901102","0","0","0","0","0"," "," ","FADDEN-MCKEOWN-CHAMBLISS EL","N","BEE","013","Improvement Required","BEEVILLE ISD","013901","01 - 04","E"
"013901104","0","0","0","0","0","0"," ","THOMAS JEFFERSON INT","N","BEE","013","Met Standard","BEEVILLE ISD","013901","05 - 06","M"
"013901105"," "," "," "," "," "," "," ","HAMPTON-MORENO-DUGAT EARLY CHILDHO","N","BEE","013","Met Standard","BEEVILLE ISD","013901","EE - KG","E"
"013902101","0","1","1","1","1","1"," ","PAWNEE EL / J H","N","BEE","013","Met Standard","PAWNEE ISD","013902","PK - 08","E"
"013903001","0","0","0","0","0","0","0","PETTUS SECONDARY","N","BEE","013","Met Standard","PETTUS ISD","013903","06 - 12","B"
"013903101","0","0","0","0","0","0"," ","PETTUS EL","N","BEE","013","Met Standard","PETTUS ISD","013903","EE - 05","E"
"013905001","0","1","0","0","1","1","1","SKIDMORE-TYNAN H S","N","BEE","013","Met Standard","SKIDMORE-TYNAN ISD","013905","09 - 12","S"
"013905041","1","0","1","1","0","1","1","SKIDMORE-TYNAN J H","N","BEE","013","Met Standard","SKIDMORE-TYNAN ISD","013905","06 - 08","M"
"013905101","0","0","0","0","0","0"," ","SKIDMORE-TYNAN EL","N","BEE","013","Met Standard","SKIDMORE-TYNAN ISD","013905","KG - 05","E"
"014801001"," "," "," "," "," "," "," ","RICHARD MILBURN ALTER H S (KILLEEN","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801002"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY ODESSA","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801004"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY LUBBOCK","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801005"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY HOUSTON (S","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801006"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY FORT WORTH","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801007"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY CORPUS CHR","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801008"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY AMARILLO","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801009"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY PASADENA","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014801010"," "," "," "," "," "," "," ","RICHARD MILBURN ACADEMY MIDLAND SO","Y","BELL","014","Improvement Required","RICHARD MILBURN ALTER HIGH SCHOOL","014801","09 - 12","S"
"014803002"," ","1","1","1","1"," "," ","GEORGETOWN CHARTER ACADEMY","Y","BELL","014","Met Standard","PRIORITY CHARTER SCHOOLS","014803","PK - 08","E"
"014803003","0","0","0","0","0","0","0","COVE CHARTER ACADEMY","Y","BELL","014","Improvement Required","PRIORITY CHARTER SCHOOLS","014803","PK - 12","B"
